,Channel_name,Subscribers,Views,Total_videos,playlist_id
0,Agrale SA,11000,3432,3,UUgWfMSM_i80aJ_Yu5XVfb1A
1,Donaldson Engine,536,8794,28,UUfe2d71EQLZXhOLY9N7aqfg
2,AGCO Power,376,134184,16,UU1D6AaYUTdR86tngI_HsVig
3,Arctic Cat,18200,6633184,369,UUZNvqiGznGApSxsVHxw9hrA
4,Ashok Leyland,120000,19524785,545,UUcsfE910TN0QI6ae4dWXI6w
