,comment,comment_id,author_url,author_name,reply_count,like_count,date,vidid,total_reply_counts,vid_title,just_date
0,"La filtration industriel, la spécialitée de https://www.sbft.fr/fourniture-de-filtres/ vous pouvez y trouver les filtres Donaldson",Ugx9SViiB_t9mTngZz14AaABAg,http://www.youtube.com/channel/UCPu58ZMQ-PYpVf25x3gsVzw,Darius Friedolf,0,0,2020-11-05 09:56:51+00:00,XiJ3J__RClQ,0,Copy of Custom Bag Crimping Demonstration - Donaldson Torit Industrial Air Filtration,2020-11-05
1,Vous pouvez trouver les filtres Torit DCE chez https://www.sbft.fr/fourniture-de-filtres/,Ugy37zfCFdE3u38A2Op4AaABAg,http://www.youtube.com/channel/UCPu58ZMQ-PYpVf25x3gsVzw,Darius Friedolf,0,0,2020-11-05 09:54:02+00:00,Sngu3cl8dG4,0,Donaldson at Powtech 2013 Torit DCE Powercore 240413 DE,2020-11-05
2,Donaldson is absolutely no joke,Ugxlm1J5v5FVBfbyeah4AaABAg,http://www.youtube.com/channel/UC5NQ8wzpYkiMckfHEpr93nA,enterBJ40,0,0,2020-08-14 01:49:07+00:00,0tuhhUgbkZg,0,Donaldson Aerospace & Defense Filtration,2020-08-14
3,"Damn...Donaldson is no joke, dudes.",UgwC8rIxhvrKoZ3xXkh4AaABAg,http://www.youtube.com/channel/UC5NQ8wzpYkiMckfHEpr93nA,enterBJ40,0,0,2020-08-14 01:48:40+00:00,0tuhhUgbkZg,0,Donaldson Aerospace & Defense Filtration,2020-08-14
4,"Gracias amigos, eso es solidez de empresa, el cielo es el límite",UgyXHrjj1KMomaKQb-p4AaABAg,http://www.youtube.com/channel/UC7FWzbPfpJrLQ3o80U9_Vkw,R Hurtado,0,0,2019-12-17 22:41:53+00:00,WJjuEFV2M70,0,Introducing the All New Shop.Donaldson.com Website,2019-12-17
